ASO056,Determination of density,BS 1377-2 Cl 7
ASO243,Fines Content (Percentage of Fines Passing 0.063mm),"BS 1377-2, 9.2"
ASO144,Linear Shrinkage,BS 1377-2 Cl 6.5
ASO237,Liquid Limit,BS 1377-2
ASO142,Liquid Plastic Limit,"BS 1377-2, Cl  4.5"
ASO141,"Liquid, Plastic Limit & Plasticity Index",BS 1377-2 Cl 4.3 & 5
ASO145,Moisture Content,BS 1377-2
ASO068,Particle Density,"BS 1377-2, Cl 8"
ASO163,Particle Size Distribution (Sieve Analysis + Hydrometer),BS 1377-2
ASO162,Particle Size Distribution (Sieve Analysis),BS 1377-2
ASO238,Plastic Limit,BS 1377-2
T01053,Soil Classification Test,BS 1377-2
ASO252,Soil Resistivity (Lab Method/Small Box,BS 1377-2
