T00193,10% Fines Value (TFV),SS 73
T00131,Acid Soluble Sulphate Content,SS 73 Pt 18
T00194,Aggregate Crushing Value (ACV),SS 73
T00998,Aggregate Impact Value,SS 73
T01009,Angularity Number,SS 73
T00994,Bulk Density (Compacted and Loose) & Voids,SS 73
T00932,Drying Shrinkage,SS 73 Part 20
T00996,Elongation Index,SS 73
T00992,"Fines Content (Clay, Silt and Dust) - Decantation Method",SS 73 Cl 13 Method B
T00993,"Fines Content (Clay, Silt and Dust) - Field Settling Test",SS 73 Cl 14 Method C
T00132,Flakiness Index (FI),SS 73-5.1
T00195,Los Angeles Abrasion (LA),SS 73
T00935,Moisture Content,SS 73 Cl 28 Method A
T00196,Organic Impurities,SS 73
T00197,Particle Density & Water Absorption,SS 73
T00198,Particle Size Distribution (Sieve Analysis),SS 73
T00987,Sampling,SS 73
T00199,Shape & Surface Texture,SS 73
T00988,Shell Content,SS 73 Part 6
T00989,Total Sulfate Content by Acid Extraction,SS 73: Part 18 Cl 6
T00995,Water-soluble Chloride Salts,SS 73: Part 17
T00999,Water-soluble Sulfates,SS 73: Part 18 Cl 5
